% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=1038865, Wed Mar 11 16:01:30 2020
1 10 -0.043530841023347595 -0.011986041104982326 0.013199270023899177 0.05308134407093919 0.9258407137319823 0.958593369495288 0.9824746720821308 0.9920731563174979 1.0008757227719949 1.0046147627072377 1.008769814376845 1.0216870464913532 1.0316838592539588 1.0665910731354964
2 20 -0.08339011059126573 -0.030379421015543147 0.018428757545048007 0.08460883471207456 0.9258407137319823 0.958593369495288 0.9824746720821308 0.9920731563174979 1.0008757227719949 1.0046147627072377 1.008769814376845 1.0216870464913532 1.0316838592539588 1.0665910731354964
3 30 -0.11569395085424407 -0.0353949596155695 0.03946865916709555 0.12360240132108825 0.9258407137319823 0.958593369495288 0.9824746720821308 0.9920731563174979 1.0008757227719949 1.0046147627072377 1.008769814376845 1.0216870464913532 1.0316838592539588 1.0665910731354964
4 40 -0.13188832259641098 -0.03944167117979298 0.04972285734393001 0.12653864576695806 0.9258407137319823 0.958593369495288 0.9824746720821308 0.9920731563174979 1.0008757227719949 1.0046147627072377 1.008769814376845 1.0216870464913532 1.0316838592539588 1.0665910731354964
5 50 -0.0985907264645392 -0.041734633918232684 0.09079804285325596 0.201616588639715 0.9258407137319823 0.958593369495288 0.9824746720821308 0.9920731563174979 1.0008757227719949 1.0046147627072377 1.008769814376845 1.0216870464913532 1.0316838592539588 1.0665910731354964
6 60 -0.10800106903829072 -0.01729144003796971 0.11545861442118599 0.2392750159607977 0.9258407137319823 0.958593369495288 0.9824746720821308 0.9920731563174979 1.0008757227719949 1.0046147627072377 1.008769814376845 1.0216870464913532 1.0316838592539588 1.0665910731354964
7 70 -0.11520370746228047 -0.02224160612752482 0.13054558216496012 0.2540975635220784 0.9258407137319823 0.958593369495288 0.9824746720821308 0.9920731563174979 1.0008757227719949 1.0046147627072377 1.008769814376845 1.0216870464913532 1.0316838592539588 1.0665910731354964
8 80 -0.12530668520531382 -0.005400541416538484 0.1381045956873683 0.28410782536835777 0.9258407137319823 0.958593369495288 0.9824746720821308 0.9920731563174979 1.0008757227719949 1.0046147627072377 1.008769814376845 1.0216870464913532 1.0316838592539588 1.0665910731354964
9 90 -0.17504026736087264 -0.011222543508532367 0.1433708446076607 0.2860948297941098 0.9258407137319823 0.958593369495288 0.9824746720821308 0.9920731563174979 1.0008757227719949 1.0046147627072377 1.008769814376845 1.0216870464913532 1.0316838592539588 1.0665910731354964
10 100 -0.1577063257765574 -0.0006102159444431556 0.13651941501278883 0.30826005471650814 0.9258407137319823 0.958593369495288 0.9824746720821308 0.9920731563174979 1.0008757227719949 1.0046147627072377 1.008769814376845 1.0216870464913532 1.0316838592539588 1.0665910731354964
11 110 -0.12634269767740017 0.004989002801374424 0.11810130453111345 0.29045556389477384 0.754918167886914 0.8142348640872444 0.8539736863923578 0.9391872740832828 0.9543510858096416 0.9906563667937288 1.031753330512626 1.0617599422632857 1.0913639312260381 1.3713737567102458
12 120 -0.1259860804172889 -0.013968715990193751 0.13632426888022073 0.29112307181573144 0.754918167886914 0.8142348640872444 0.8539736863923578 0.9391872740832828 0.9543510858096416 0.9906563667937288 1.031753330512626 1.0617599422632857 1.0913639312260381 1.3713737567102458
