% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=264831, Mon Jan 27 17:44:44 2020
1 12 -0.020210065908857655 -3.660859617546972e-05 3.647088537197107e-05 0.027973403969080747 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 24 -0.028398349757162607 -9.04838499437102e-06 2.310356664926338e-05 0.03161364527746258 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3 36 -0.04022508048974365 -0.00022842599903854363 2.262605371060051e-05 0.04171875624021502 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4 48 -0.051819935469440734 -0.0006607989842139317 0.00018835147223333863 0.056175538365005794 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
5 60 -0.044239103469595135 -0.0004491065506512163 0.00025631466773798714 0.06056816818204014 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
6 72 -0.03977670461584145 -1.1938193774726306e-05 0.0013519452568541105 0.09307871720131725 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 84 -0.044275728066154464 -0.000825175344001188 9.931527351296e-05 0.12328127540026647 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
8 96 -0.05019220917947807 -0.0002867952420229689 0.0003616637924049365 0.13381550835782197 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
9 108 -0.054475301519759184 -0.0007957229607988865 0.00015487595160992802 0.15014043858240536 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
10 120 -0.05021023949995852 -1.8029391251102393e-06 0.0014295511610763214 0.15497490160239002 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
11 132 -0.054976853199583585 -0.000365479036848496 0.00012513939519035307 0.16028291901693692 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
12 144 -0.06963695279105497 -9.48747540435118e-05 0.0004581638400878172 0.17098136980404105 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
13 156 -0.07167765206591706 -0.0008434473229924039 0.0002202985760002484 0.16739370745028728 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14 168 -0.06588762555284446 -0.0005290519968764115 0.0009180468665518453 0.16367068319689987 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
15 180 -0.06242327062133643 -0.00016828085780140842 0.00059938863305109 0.16189711043816118 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
16 192 -0.07386720012639889 -0.00012533995856315238 6.875964906792823e-05 0.1563138782484915 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
17 204 -0.07818667637021456 -0.0004852093820256267 0.00014099712274945277 0.16140058605740362 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
18 216 -0.07691206552284251 -0.00037053114241425596 0.0004777383878463779 0.16653909349035342 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
19 228 -0.06950134373004378 -0.002636594354607291 0.0009160770313899586 0.16614545492043634 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
20 240 -0.07929617688469684 -0.0012695292423554765 0.0003789654604377456 0.1725345481541379 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
21 252 -0.08554970784361886 -0.0015207775961554497 0.00225028197481177 0.17757898570634886 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
22 264 -0.09506489350440513 -0.000431842060888887 0.002381273995614102 0.16930631320252867 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
23 276 -0.08063481243170767 -0.000426056650910148 0.0003720231541096844 0.17546944340526208 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
24 288 -0.08380036657418313 -0.0009671366153408739 0.0010623530046665393 0.19166453802617212 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
25 300 -0.08429551360072332 -0.00027765752082518935 0.00020712793532405785 0.1875126335822342 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
26 312 -0.08260792871051822 -0.0001950428543330009 0.0004468469684814462 0.18466188373377773 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
27 324 -0.08423389041267501 -0.0004779198034442002 0.00107337356080707 0.174647158681133 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
28 336 -0.09465441418900779 -2.5822301733192066e-05 0.0012095074210349424 0.17316173913985494 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
29 348 -0.08943347486498443 -5.290283938446539e-05 0.0005790077868379096 0.17493153947007536 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
30 360 -0.09372449708095659 -0.0006312800642240944 2.2304068987577656e-05 0.19571196545265582 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
31 372 -0.09552044127609183 -0.001812142392334507 0.000375540905026058 0.19135284511464684 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
32 384 -0.09995168536181133 -0.00048381205586897147 0.002106924207797789 0.18514807217210305 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
33 396 -0.10443250651111927 -0.0014564764288569653 0.0008538444243515949 0.18530175484498604 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
34 408 -0.10690646327481211 -0.00013165554413114699 0.0005488459560568852 0.1860237050555873 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
35 420 -0.11774982381107732 -0.001010820304696306 0.000915876330082359 0.1888602316504281 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
36 432 -0.12154739225910197 -0.0012868633760808185 0.00025776703629018207 0.18435136995254825 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
37 444 -0.126096890148355 -0.00028756720806732104 0.00020492129294103108 0.1817242676202066 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
38 456 -0.13407793737405685 -0.0003876221644796763 0.0005353556050908024 0.18017252391384342 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
39 468 -0.15024616852804543 -6.061120752354981e-05 0.001181624394837678 0.1815122803794199 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
40 480 -0.15475324184026268 -0.0006932556534646789 0.0001182918084142004 0.1793283943793747 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
41 492 -0.1455005727597321 -0.0010818835770758392 0.0004108019040136118 0.17076643081574389 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
42 504 -0.13668882199896418 -0.0003538022423950465 0.0003817101529060878 0.1703547254946396 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
43 516 -0.13596555720371484 -0.0006354775296867254 0.0002722397005799714 0.17639212564862708 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
44 528 -0.13827942115411057 -0.00034617605691870305 0.00018871722414974814 0.17677182485601214 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
45 540 -0.14579202142796371 -2.0046813443312767e-05 0.0004169881126665482 0.16579255273118526 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
46 552 -0.1506243926775272 -0.0002183632536195858 0.001855503300601639 0.1653011960520598 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
47 564 -0.14925108614112645 -0.000645880018092241 0.001746454816672083 0.16763558378208784 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
48 576 -0.13388397532915955 -0.0010752677511357825 0.0004324632077957514 0.16995048433115745 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
